track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,tempo,danceability,energy,key,loudness,acousticness,instrumentalness,liveness,valence,mode,speechiness,type,time_signature
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,3TVXtAsR1Inumwj472S9r4,Drake,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,77,93.372,0.585,0.909,8,-6.474,0.0891,9.7e-05,0.119,0.758,1.0,0.0707,audio_features,4.0
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,6EobpC5SDFy5DF50dWNVGF,RITMO (Bad Boys For Life),2019-10-12,72,104.994,0.721,0.716,10,-7.037,0.0334,0.00084,0.237,0.667,0.0,0.0657,audio_features,4.0
060dZ7q9HN8nAS2zn2hwo5,SOCKS,4r63FhuTkUYltbVAg5TQnk,DaBaby,6x5UJEgPpRGdXjpeRY5QSz,Baby On Baby 2,2022-09-23,65,140.969,0.892,0.53,1,-6.564,0.0543,0.0,0.151,0.492,1.0,0.62,audio_features,4.0
6tHqIchYk0TzpbBxMMcIXI,"Smoked out, Scoped Out",1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,1VJbqV5tHd4wP7n5iJhYIY,KILL YOURSELF Part XVI: The Faded Stains Saga,2018-09-14,47,131.986,0.782,0.683,10,-5.939,0.00548,0.0,0.587,0.494,0.0,0.143,audio_features,4.0
4sRALTDj1vEOe5dPnPg8Qt,Zebra,2S2mt1DiA4QKdKvtqwxrbB,Jackboy,410i9y36CDNPPbXGn7wseR,Lost In My Head,2019-09-06,44,157.001,0.781,0.777,11,-8.193,0.144,0.0,0.0966,0.645,0.0,0.392,audio_features,4.0
7ejepEh5DJ79YI6owGRfkk,New N3on,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,2020-12-25,64,130.054,0.888,0.833,6,-6.546,0.0631,0.0,0.106,0.948,0.0,0.0737,audio_features,4.0
1oc92BMKYkNxK17C2GtyRM,Distraction,6AgTAQt8XS6jRWi4sX7w49,Polo G,30OwIxHqQILQ9vwd86sD3o,Distraction,2022-06-03,74,156.934,0.713,0.689,11,-5.99,0.16,0.0,0.136,0.63,1.0,0.255,audio_features,4.0
3QHGfxhjexLaMKGHXagfRs,Hell Yeah,2SJhf6rTOU53g8yBdAjPby,SoFaygo,1POWgdYTzfFt9rhKlXFwsU,Pink Heartz,2022-11-11,61,142.026,0.696,0.708,9,-4.737,0.000113,0.0,0.444,0.287,1.0,0.0438,audio_features,4.0
0wY9rA9fJkuESyYm9uzVK5,D'Evils,3QTDHixorJelOLxoxcjqGx,SiR,5zdFKRmlSDwAMZ5NFVGbx9,November,2018-01-19,65,132.169,0.784,0.586,1,-3.417,0.00558,0.000286,0.106,0.656,1.0,0.187,audio_features,4.0
6hRrzZJ90DNQdEF1Wu2Mrf,As I Am,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,0IMTA2Wz6p8CNZ0MDK2zvg,I Used To Know Her,2019-08-30,57,83.661,0.445,0.567,2,-8.19,0.0822,1.29e-06,0.225,0.176,0.0,0.245,audio_features,4.0
1dp8aQANyTRKssDeAYPiZe,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),0ONHkAv9pCAFxb0zJwDNTy,Pusha T,6o38CdD7CUlZDCFhjZYLDH,It's Almost Dry,2022-04-22,69,106.726,0.594,0.679,7,-3.702,0.484,7.83e-06,0.114,0.66,1.0,0.345,audio_features,5.0
4qikXelSRKvoCqFcHLB2H2,Mercy,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,0hmFRR0pDSZIAvoJqEFSKv,Mercy,2012-01-01,71,139.993,0.563,0.496,6,-9.381,0.0685,5.8e-05,0.173,0.426,0.0,0.406,audio_features,4.0
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),246dkjvS1zLTtiykXe5h60,Post Malone,6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,84,159.801,0.585,0.52,5,-6.136,0.124,7.01e-05,0.131,0.129,0.0,0.0712,audio_features,4.0
4ksUlGCczAbNILfURtoRdX,Real Talk,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,0CVUhiVak9Vm5XlGPVRXDd,Nail Tech - Sharp Rap,2022-11-18,2,138.033,0.789,0.71,5,-6.165,0.128,0.0,0.112,0.188,0.0,0.0681,audio_features,4.0
5rLyYxZNzca00ENADO9m54,When I Grow Up,6fOMl44jA4Sp5b9PpYCkzz,NF,46xdC4Qcvscfs3Ai2RIHcv,The Search,2019-07-26,73,109.994,0.817,0.814,2,-3.985,0.32,0.0,0.152,0.247,1.0,0.185,audio_features,4.0
01LPRbAEerBCofIQAbwRmK,People's Champ,2pSObt5Fk8izuX8ZfI3jRn,Upchurch,05nUDymtjkkya5l7gtyznT,People's Champ,2022-02-04,56,86.037,0.844,0.734,6,-4.111,0.172,0.0,0.13,0.672,0.0,0.286,audio_features,4.0
6P5ulGKtC4x6RnFbzfpq8O,Lick Back,4FlG0V0jhLO4qGpayFOphj,EST Gee,1RsqFdvHFKN9VGpBmJtUku,Bigger Than Life Or Death,2021-07-21,61,160.963,0.838,0.573,0,-5.667,0.0496,0.0,0.121,0.687,1.0,0.275,audio_features,4.0
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),0YinUQ50QDB7ZxSCLyQ40k,Mustard,2WrNHOba5u6P9S9xEboaUy,Perfect Ten,2019-06-28,78,97.008,0.809,0.545,7,-6.678,0.392,0.0,0.151,0.244,1.0,0.0735,audio_features,4.0
6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",6fWVd57NKTalqvmjRd2t8Z,24kGoldn,4PTxbJPI4jj0Kx8hwr1v0T,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",2020-11-06,69,90.988,0.721,0.745,7,-3.508,0.151,1.24e-06,0.372,0.699,0.0,0.0366,audio_features,4.0
6bfJggd4HFdzHzvZLQ5EDX,She’s The One,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,1btu0SV2DOI5HoFsvUd78F,Death Race For Love (Bonus Track Version),2019-03-08,60,155.984,0.621,0.804,6,-5.502,0.308,0.0,0.297,0.396,0.0,0.225,audio_features,4.0
0HrWshW3SuFJ6nKS9ba9Mh,Vette Motors,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,1ZCsPUZ7j9dTqjhU2I36tw,The Last Slimeto,2022-08-05,71,155.103,0.83,0.644,10,-5.431,0.0298,0.0,0.11,0.227,0.0,0.407,audio_features,4.0
0yxPUMQsHJXThYjYMoIJU5,Depression,5icKdCmMhNMYoAzVBAWt39,Dax,6O8efloF476sH5FzVzLYSw,Depression,2022-10-21,67,81.058,0.746,0.608,9,-6.843,0.0571,0.0,0.224,0.262,0.0,0.0938,audio_features,4.0
3M214U0mwSm041GsQR3nrO,Toxic,1Cd373x8qzC7SNUg5IToqp,BoyWithUke,1I79ZTFJ5FVLwMYRWvhk73,Serotonin Dreams,2022-05-06,77,179.71,0.609,0.619,11,-5.677,0.749,0.0,0.264,0.689,1.0,0.311,audio_features,4.0
11iiMB7TmFTtaXT4YJAltw,i don't feel part of the world anymore,5yaF4LUw7ON1RmE4O8Q03C,itssvd,1EeYJrmjXcqx5PCZWu6WV1,tape for when i'm sad,2019-05-17,69,95.037,0.546,0.179,1,-19.623,0.611,0.00211,0.107,0.272,0.0,0.23,audio_features,4.0
500l6Cwe40hkPqS7Sf7ufY,Foreign,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,7dAm8ShwJLFm9SaJ6Yc58O,Die Lit,2018-05-11,71,122.955,0.762,0.705,6,-5.195,0.0906,0.0,0.17,0.264,0.0,0.164,audio_features,4.0
6qbbHIEA9iDhAkLZmWKY8w,Clarity,2qxJFvFYMEDqd7ui6kSAcq,Zedd,1YORd7zj0tRmoDZKNgD4AI,Winter Dance Party,2022-11-25,1,128.002,0.509,0.781,8,-3.48,0.0391,0.0,0.0749,0.176,1.0,0.0721,audio_features,4.0
0vbmYCIWENdYyJ36Q4CdSz,90 Proof (with J. Cole),1ybINI1qPiFbwDXamRtwxD,Smino,4WS18QYpvlKrKB7LtcRg0u,90 Proof (with J. Cole),2022-09-30,71,147.826,0.773,0.623,7,-6.53,0.24,3.56e-05,0.148,0.528,1.0,0.0983,audio_features,4.0
5SixeLvPsYpk7qq9lo5xYg,Have Mercy,1FtBEIWAwvw5ymBen5GICR,Chlöe,4N8qhDeqx8AHoEhMnYEC2Y,Have Mercy,2021-09-10,72,130.022,0.903,0.535,9,-6.434,0.297,0.0,0.345,0.508,1.0,0.0742,audio_features,4.0
6fTdcGsjxlAD9PSkoPaLMX,Sunday Candy,0ojcq9LJQWMawQdFDw3M0L,Donnie Trumpet & The Social Experiment,3eM1KTKmpqrQOvuvYY42cr,Surf,2015-06-30,63,158.063,0.511,0.596,0,-6.56,0.53,0.0,0.0798,0.554,1.0,0.224,audio_features,4.0
124NFj84ppZ5pAxTuVQYCQ,Take Care,3TVXtAsR1Inumwj472S9r4,Drake,6X1x82kppWZmDzlXXK3y3q,Take Care (Deluxe),2011-11-15,75,121.845,0.629,0.515,0,-10.358,0.0267,1.22e-05,0.0888,0.299,0.0,0.265,audio_features,4.0
4bBrKDo8rchikwZOtmXbIH,The Night Is Still Young,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,5ooCuPIk58IwSo6DRr1JCu,The Pinkprint (Deluxe),2014-12-15,64,128.016,0.656,0.692,1,-6.145,0.00212,0.00305,0.128,0.693,0.0,0.0563,audio_features,4.0
5R2rsbwCDXORX2tLfprRmM,Yacht Club (feat. Juice WRLD),6icQOAFXDZKsumw3YXyusw,Lil Yachty,4qplno3lbet8WvuTGdDG3T,Nuthin' 2 Prove,2018-10-19,72,159.911,0.721,0.508,7,-7.496,0.317,0.0,0.153,0.457,1.0,0.394,audio_features,4.0
4cfarBd6WDyanf84wuSvq4,Body - Remix,7b79bQFziJFedJb75k6hFt,Tion Wayne,2Ly76nU8IRasmug6joHPic,Power Rap,2022-11-25,0,141.02,0.883,0.674,11,-8.043,0.21,0.0,0.0678,0.73,0.0,0.357,audio_features,4.0
6e9biVAugkOfydEN8OiJpi,Pose (feat. Lil Uzi Vert),6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,6nIe8wxpDcAzUJVj4v2v5r,Pose (feat. Lil Uzi Vert),2019-08-23,56,120.102,0.944,0.613,10,-5.999,0.00818,0.0,0.0893,0.328,0.0,0.291,audio_features,4.0
0IpnZchq8ek2A6pGEP2Qb1,Bean (Kobe) [feat. Chief Keef],4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,0fEO7g2c5onkaXsybEtuD2,Eternal Atake (Deluxe) - LUV vs. The World 2,2020-03-13,65,75.491,0.733,0.567,0,-6.718,0.0129,0.0,0.382,0.319,1.0,0.319,audio_features,4.0
602jm4sEhzzgdnz0MKaW4S,On Repeat,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,1BdNAo6otVVLuJgT2stpsC,some dance,2022-11-18,0,122.958,0.609,0.801,1,-8.483,0.0246,0.00255,0.37,0.202,0.0,0.0694,audio_features,4.0
7eYAHC0RbBF9eaqWzT34Aq,Desires (with Future),3TVXtAsR1Inumwj472S9r4,Drake,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,2020-05-01,65,145.074,0.812,0.506,5,-7.706,0.281,0.0,0.325,0.554,0.0,0.116,audio_features,4.0
4bEcoz1OcfMgUbp2ft8ieQ,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,2017-07-21,73,90.034,0.48,0.61,0,-7.042,0.0456,0.0,0.313,0.297,1.0,0.305,audio_features,4.0
55Obwpwcw9uoR4XA9eqn6i,Grudge Match,3jsxOJ7aipBF4ijXEBZDNb,Sugs,7vUO17t4UDAwbyFoOdWXTr,Grudge Match,2020-07-24,51,99.978,0.846,0.774,10,-5.532,0.051,6.77e-05,0.112,0.665,0.0,0.0728,audio_features,4.0
2DTpP3caqX3QdJIEoS83mD,Your Heart,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,1VKFaHoIvkZTzsSRad2jDZ,Your Heart,2021-09-24,68,87.006,0.861,0.637,6,-7.701,0.392,0.0,0.0929,0.754,0.0,0.133,audio_features,4.0
2XHzzp1j4IfTNp1FTn7YFg,Love Me,55Aa2cqylxrFIXC767Z865,Lil Wayne,6Pqlfg42Sc3ElNuyt5NUiK,I Am Not A Human Being II (Deluxe),2013-01-01,79,124.906,0.669,0.634,11,-6.476,0.0125,0.0,0.0946,0.496,1.0,0.0327,audio_features,4.0
078C2jXg7XsMgW78Gfx1JA,SMUCKERS (feat. Lil Wayne & Kanye West),4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",621OhgnZJ7Pz8iUazct1In,Cherry Bomb,2015-04-13,67,79.155,0.427,0.849,7,-2.945,0.015,0.00373,0.153,0.55,1.0,0.348,audio_features,4.0
5bBzkJE9BqYTL27webAUCw,Rocc Climbing (feat. Lil Yachty),65s98MYZ4xFpgKlUYS5XKw,Remble,6MJPvYn6Xw3PIwUMyNXpS7,Rocc Climbing (feat. Lil Yachty),2021-09-24,63,100.032,0.832,0.656,4,-7.492,0.316,2.13e-06,0.108,0.562,0.0,0.375,audio_features,4.0
